age,married,orientation,religion,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,MarriedN,OrientationN,ReligionN
24,Never,Hetero,Agnostic,2.0,3.0,6.0,6.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,7.0
19,Never,Hetero,Atheist,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0
17,Never,Hetero,Christian,1.0,5.0,5.0,7.0,6.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0
22,Never,Hetero,Agnostic,4.0,6.0,6.0,4.0,7.0,6.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,7.0
54,Previously,Hetero,Other,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
19,Never,Hetero,Agnostic,2.0,6.0,6.0,6.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,7.0
23,Never,Hetero,Buddhist,2.0,2.0,7.0,6.0,7.0,6.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,9.0
21,Never,Hetero,Christian,3.0,3.0,6.0,7.0,7.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0
44,Married,Hetero,Other,2.0,5.0,7.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0
19,Never,New Types,Atheist,6.0,4.0,5.0,3.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,5.0,5.0
20,Never,Hetero,Hindu,7.0,4.0,7.0,1.0,7.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0
19,Never,Bi,Atheist,5.0,3.0,6.0,1.0,6.0,5.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,5.0
18,Never,Hetero,Atheist,1.0,5.0,7.0,7.0,5.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,5.0
22,Never,Bi,Christian,2.0,4.0,5.0,6.0,6.0,5.0,4.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0
20,Never,Bi,Atheist,2.0,5.0,7.0,5.0,6.0,5.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0
28,Never,Hetero,Agnostic,3.0,4.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0
15,Never,Hetero,Muslim,1.0,5.0,6.0,7.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0
16,Never,Hetero,Christian Other,6.0,6.0,1.0,5.0,6.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
25,Never,Bi,Agnostic,2.0,4.0,7.0,7.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,7.0
29,Married,Hetero,Agnostic,1.0,6.0,5.0,7.0,7.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,7.0
18,Never,Asexual,Agnostic,6.0,1.0,3.0,2.0,7.0,7.0,6.0,4.0,3.0,4.0,3.0,1.0,3.0,7.0
21,Never,Bi,Agnostic,2.0,3.0,5.0,7.0,5.0,6.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,7.0
18,Never,Hetero,Christian Other,6.0,7.0,3.0,7.0,7.0,5.0,6.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0
20,Never,Bi,Other,1.0,3.0,7.0,6.0,6.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0
15,Never,Bi,Other,5.0,1.0,7.0,5.0,6.0,7.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0
14,Never,Bi,Atheist,2.0,3.0,6.0,3.0,5.0,6.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0
13,Never,New Types,Muslim,4.0,3.0,6.0,4.0,4.0,7.0,6.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0
16,Never,Hetero,Agnostic,1.0,1.0,7.0,6.0,6.0,1.0,2.0,3.0,3.0,4.0,2.0,1.0,1.0,7.0
20,Never,Bi,Other,1.0,3.0,7.0,5.0,6.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,1.0
15,Never,Hetero,Christian Other,2.0,7.0,5.0,6.0,6.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
20,Never,New Types,Agnostic,3.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,5.0,7.0
16,Never,Hetero,Christian,6.0,6.0,5.0,4.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0
16,Never,Hetero,Other,5.0,6.0,6.0,5.0,7.0,5.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0
16,Never,Hetero,Christian,6.0,6.0,4.0,5.0,7.0,6.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0
22,Never,Homo,Agnostic,5.0,7.0,5.0,7.0,6.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,7.0
16,Never,Hetero,Other,5.0,5.0,6.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0
16,Never,New Types,Muslim,4.0,1.0,7.0,7.0,6.0,6.0,1.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0
18,Never,Homo,Agnostic,2.0,5.0,6.0,6.0,6.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,7.0
20,Never,Hetero,Atheist,2.0,2.0,2.0,5.0,4.0,6.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0
66,Previously,Hetero,Agnostic,6.0,6.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0
20,Never,Hetero,Muslim,2.0,2.0,6.0,5.0,6.0,6.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0
21,Never,New Types,Christian,3.0,5.0,7.0,2.0,6.0,6.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0
30,Never,Hetero,Hindu,3.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0,2.0,3.0,2.0,1.0,1.0,8.0
16,Never,Asexual,Christian,2.0,5.0,7.0,7.0,2.0,6.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0
16,Never,Asexual,Other,2.0,6.0,7.0,6.0,7.0,6.0,1.0,4.0,3.0,4.0,4.0,1.0,3.0,1.0
